,nomes,idade,cidade,estado,cpf,cnpj,validade_cpf,validade_cnpj
0,Dennis Daniels,31,Acrelândia,AC,97566536800,06589184909526,True,True
1,Leah Becker,42,Água Branca,AL,42526380707,25673336235020,True,True
2,Sally Ford,18,Alvarães,AM,34647754103,26543101702989,True,True
3,Colleen Duncan,21,Serra Do Navio,AP,25253156003,19062080510098,True,True
4,Jeff Stephenson,73,Abaíra,BA,49668886542,97794530015384,True,True
5,Sydney Curtis,85,Abaiara,CE,50620290749,29476298085678,True,True
6,Kelly Matthews,44,Brasília,DF,39154836808,24709301957761,True,True
7,Juan Ruiz,39,Afonso Cláudio,ES,22688119648,02420338147900,True,True
8,Brian Thomas,26,Abadia De Goiás,GO,47475484084,70723419110335,True,True
9,Sara Ayers,62,Açailândia,MA,94830978864,88253689548382,True,True
10,Brady Cruz,83,Abadia Dos Dourados,MG,03438452456,13118105069639,True,True
11,Samantha Wright,32,Água Clara,MS,22203654090,04310317320252,True,True
12,Richard Turner,85,Acorizal,MT,79059712285,75595541223248,True,True
13,Ashley Sanders,73,Abaetetuba,PA,75206513989,06923815165128,True,True
14,Thomas Jones,45,Água Branca,PB,34565179806,26574533273304,True,True
15,Ian Murray,68,Abreu E Lima,PE,15277717099,85202887368851,True,True
16,Janice Jensen,79,Acauã,PI,45081993646,89596067898809,True,True
17,Jeffrey Cunningham,48,Abatiá,PR,66549028825,18866688344242,True,True
18,Amanda Glass,49,Angra Dos Reis,RJ,86173803577,87380936406714,True,True
19,Kaitlyn Johnson,65,Acari,RN,89737004213,40893546741494,True,True
20,Daniel Nelson,56,Alta Floresta D'Oeste,RO,21019230681,39414072702140,True,True
21,Jimmy Neal,47,Amajari,RR,85072768490,25910961614308,True,True
22,Amy Ramirez,59,Aceguá,RS,47660084135,27054334917081,True,True
23,Mr. Andrew Chapman MD,55,Abdon Batista,SC,64597685286,26848890535610,True,True
24,Ronnie Vazquez,42,Amparo De São Francisco,SE,85268818848,10194559328639,True,True
25,Eric Leonard DDS,48,Adamantina,SP,03802580133,53997444309399,True,True
26,Cheryl Daniel,81,Abreulândia,TO,41518337651,16558428654046,True,True
27,John Gutierrez,75,Acrelândia,AC,48579786444,51477910241483,True,True
